ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-17,0.22423916742079203,45386584131,0,0.0,0.0,0.0,0.22423916742079203,,0.0
2025-02-24,0.10115411069167479,45386584131,0,0.0,0.0,0.0,0.10115411069167479,,0.0
2025-02-17,0.048236188703675784,598294111,0,342.0,0.0,0.0,0.048236188703675784,,16.49677653665712
2025-02-24,-0.5423787144861812,598294111,1,0.0,0.0,-0.0,1.5423787144861811,1.5423787144861811,0.0
2025-02-17,-2.466077081931711,5982960035,0,0.0,0.0,-0.0,2.466077081931711,,0.0
2025-02-24,-0.907006976282851,5982960035,0,0.0,0.0,-0.0,0.907006976282851,,0.0
2025-02-17,0.03892974020895912,598302302,0,0.0,0.0,0.0,0.03892974020895912,,0.0
2025-02-24,0.11472216085420829,598302302,0,0.0,0.0,0.0,0.11472216085420829,,0.0
2025-02-17,-0.03045332886642372,5996489657,0,0.0,0.0,-0.0,0.03045332886642372,,0.0
2025-02-24,-0.035388754627442905,5996489657,0,0.0,0.0,-0.0,0.035388754627442905,,0.0
2025-02-17,0.13769003146120212,5996490387,0,0.0,0.0,0.0,0.13769003146120212,,0.0
2025-02-24,0.47696837350402804,5996490387,0,0.0,0.0,0.0,0.47696837350402804,,0.0
2025-02-17,0.005551026325924413,5996537271,0,0.0,0.0,0.0,0.005551026325924413,,0.0
2025-02-24,-0.01050830026128291,5996537271,0,0.0,0.0,-0.0,0.01050830026128291,,0.0
2025-02-17,1.3172700299370332,599653937,0,273.6,0.0,0.0,1.3172700299370332,,360.4050801907723
2025-02-24,0.5512921026035447,599653937,0,0.0,0.0,0.0,0.5512921026035447,,0.0
2025-02-17,-0.666783793431548,5996540711,1,0.0,0.0,-0.0,1.6667837934315481,1.6667837934315481,0.0
2025-02-24,-1.1430952869114752,5996540711,1,342.0,342.0,-390.9385881237245,2.143095286911475,2.143095286911475,732.9385881237246
2025-02-17,0.5120199977636322,5996552646,0,0.0,0.0,0.0,0.5120199977636322,,0.0
2025-02-24,0.0626047853648326,5996552646,0,0.0,0.0,0.0,0.0626047853648326,,0.0
2025-02-17,0.06546167188329063,5996815882,0,0.0,0.0,0.0,0.06546167188329063,,0.0
2025-02-24,0.06670626371671678,5996815882,0,0.0,0.0,0.0,0.06670626371671678,,0.0
2025-02-17,-0.29879704213193975,5996820047,1,0.0,0.0,-0.0,1.2987970421319397,1.2987970421319397,0.0
2025-02-24,-0.0985748736400372,5996820047,0,493.2,0.0,-0.0,0.0985748736400372,,48.617127679266346
2025-02-17,0.2767635328089766,5996899120,0,0.0,0.0,0.0,0.2767635328089766,,0.0
2025-02-24,0.007879711693180858,5996899120,0,0.0,0.0,0.0,0.007879711693180858,,0.0
2025-02-17,0.003748589556410836,5996932035,0,0.0,0.0,0.0,0.003748589556410836,,0.0
2025-02-24,0.0076139640003959445,5996932035,0,0.0,0.0,0.0,0.0076139640003959445,,0.0
2025-02-17,0.5904357037712782,5996937634,0,0.0,0.0,0.0,0.5904357037712782,,0.0
2025-02-24,0.1499309221896592,5996937634,0,0.0,0.0,0.0,0.1499309221896592,,0.0
2025-02-17,0.44621926390706107,5996941129,0,0.0,0.0,0.0,0.44621926390706107,,0.0
2025-02-24,0.6754008930754172,5996941129,0,0.0,0.0,0.0,0.6754008930754172,,0.0
